「 ✦ 𝐒𝐰𝐨𝐫𝐝 𝐋𝐓 𝟏 ✦ 」, #7f8c8d
⚔️ 「 ✦ 𝐒𝐞𝐧𝐢𝐨𝐫 𝐓𝐢𝐞𝐫 𝐓𝐞𝐬𝐭𝐞𝐫 ✦ 」, #000000
⚔️ 「 ✦ 𝐓𝐢𝐞𝐫 𝐓𝐞𝐬𝐭𝐞𝐫 ✦ 」, #000000
⚔️ 「 ✦ 𝐓𝐫𝐢𝐚𝐥 𝐓𝐢𝐞𝐫 𝐓𝐞𝐬𝐭𝐞𝐫 ✦ 」, #000000
💎 「 ✦ 𝐒𝐮𝐩𝐩𝐨𝐫𝐓 𝐓𝐞𝐚𝐦 ✦ 」, #000000
🔨 「 ✦ 𝐁𝐮𝐢𝐥𝐝𝐞𝐫 ✦ 」, #000000
🎬 「 ✦ 𝐌𝐞𝐝𝐢𝐚 𝐓𝐞𝐚𝐦 ✦ 」, #000000
✅ 「 ✦ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 ✦ 」, #000000
👤 「 ✦ 𝐌𝐞𝐦𝐛𝐞𝐫 ✦ 」, #000000
🔇 「 ✦ 𝐌𝐮𝐭𝐞𝐝 ✦ 」, #000000
🤖 「 ✦ 𝐁𝐨𝐭 ✦ 」, #000000
